country,code,year,energy
Saint Lucia,LCA,2016,10202.16293
Saint Pierre and Miquelon,SPM,2016,67948.60839
Saint Vincent and the Grenadines,VCT,2016,9396.696435
Samoa,WSM,2016,7892.217779
Sao Tome and Principe,STP,2016,3072.546715
Saudi Arabia,SAU,2016,93983.6784
Senegal,SEN,2016,2287.240583
Serbia,SRB,2016,21482.46162
Seychelles,SYC,2016,47532.37454
Sierra Leone,SLE,2016,627.852529
Singapore,SGP,2016,170887.4528
Slovakia,SVK,2016,33273.46898
Slovenia,SVN,2016,37948.44553
Solomon Islands,SLB,2016,1567.979127
Somalia,SOM,2016,243.7853538
South Africa,ZAF,2016,26181.14051
South Korea,KOR,2016,66260.33841
South Sudan,SSD,2016,456.9772475
Spain,ESP,2016,33743.6655
Sri Lanka,LKA,2016,4095.597695
Sudan,SDN,2016,2234.267991
Suriname,SUR,2016,20463.46278
Swaziland,SWZ,2016,4043.132355
Sweden,SWE,2016,60480.05166
Switzerland,CHE,2016,36749.34331
Syria,SYR,2016,7157.871008
Taiwan,TWN,2016,57025.0653
Tajikistan,TJK,2016,7956.902941
Tanzania,TZA,2016,1299.272695
Thailand,THA,2016,21586.5288
Timor,TLS,2016,1773.815996
Togo,TGO,2016,1441.214029
Tonga,TON,2016,5505.049676
Trinidad and Tobago,TTO,2016,143129.4315
Tunisia,TUN,2016,10223.99251
Turkey,TUR,2016,20915.6277
Turkmenistan,TKM,2016,58202.13019
Turks and Caicos Islands,TCA,2016,24066.14979
Uganda,UGA,2016,715.8866997
Ukraine,UKR,2016,23122.01085
United Arab Emirates,ARE,2016,138225.2343
United Kingdom,GBR,2016,33577.3374
United States,USA,2016,79130.81758
United States Virgin Islands,VIR,2016,114260.1204
Uruguay,URY,2016,20204.3268
Uzbekistan,UZB,2016,15735.43729
Vanuatu,VUT,2016,2515.736673
Venezuela,VEN,2016,27817.91197
Vietnam,VNM,2016,9226.983267
Western Sahara,ESH,2016,1982.333996
World,OWID_WRL,2016,20490.95482
Yemen,YEM,2016,2525.175596
Zambia,ZMB,2016,2832.410826
Zimbabwe,ZWE,2016,3385.574447
