country,code,year,energy
Afghanistan,AFG,2016,1010.013581
Africa,,2016,4208.473928
Albania,ALB,2016,13668.12101
Algeria,DZA,2016,15210.94434
American Samoa,ASM,2016,26149.81202
Angola,AGO,2016,3605.891688
Antigua and Barbuda,ATG,2016,32287.02237
Argentina,ARG,2016,22832.31538
Armenia,ARM,2016,14331.24819
Aruba,ABW,2016,51604.09194
Australia,AUS,2016,67349.65382
Austria,AUT,2016,45481.41391
Azerbaijan,AZE,2016,17394.07159
Bahamas,BHS,2016,32751.06886
Bahrain,BHR,2016,142158.9024
Bangladesh,BGD,2016,2361.491969
Barbados,BRB,2016,25106.71408
Belarus,BLR,2016,28325.43989
Belgium,BEL,2016,64278.42693
Belize,BLZ,2016,8390.656596
Benin,BEN,2016,2128.549457
Bermuda,BMU,2016,50229.44573
Bhutan,BTN,2016,33586.22011
Bolivia,BOL,2016,8243.056645
Bosnia and Herzegovina,BIH,2016,24397.51908
Botswana,BWA,2016,9749.644532
Brazil,BRA,2016,16058.66432
British Virgin Islands,VGB,2016,26163.92478
Brunei,BRN,2016,123822.6664
Bulgaria,BGR,2016,29425.25976
Burkina Faso,BFA,2016,763.0643347
Burundi,BDI,2016,162.382052
Cambodia,KHM,2016,2933.223317
Cameroon,CMR,2016,2003.013931
Canada,CAN,2016,106404.1611
Cape Verde,CPV,2016,6922.608456
Cayman Islands,CYM,2016,42140.92472
Central African Republic,CAF,2016,479.4220471
Chad,TCD,2016,98.33398367
Chile,CHL,2016,23931.91415
China,CHN,2016,24938.40112
Colombia,COL,2016,10418.75099
Comoros,COM,2016,997.5138517
Congo,COG,2016,5658.840532
Cook Islands,COK,2016,20915.15682
Costa Rica,CRI,2016,12889.93043
Croatia,HRV,2016,22131.92988
Cuba,CUB,2016,11127.02798
Cyprus,CYP,2016,27043.81627
Czech Republic,CZE,2016,43317.37535
Democratic Republic of Congo,COD,2016,489.022948
Denmark,DNK,2016,34302.118
Djibouti,DJI,2016,4186.113279
Dominica,DMA,2016,12773.82557
Dominican Republic,DOM,2016,10118.51486
Ecuador,ECU,2016,11179.20295
Egypt,EGY,2016,10998.84335
El Salvador,SLV,2016,6328.875264
Equatorial Guinea,GNQ,2016,13371.14594
Eritrea,ERI,2016,768.8004474
Estonia,EST,2016,53537.07881
Ethiopia,ETH,2016,777.1524392
Europe,,2016,31313.70838
Faeroe Islands,FRO,2016,70407.74645
Fiji,FJI,2016,12748.3076
Finland,FIN,2016,59642.5178
France,FRA,2016,41930.68539
French Guiana,GUF,2016,16876.52399
French Polynesia,PYF,2016,17260.78659
Gabon,GAB,2016,10763.71857
Gambia,GMB,2016,1117.995131
Georgia,GEO,2016,19301.40592
Germany,DEU,2016,46028.41342
Ghana,GHA,2016,2704.759381
Gibraltar,GIB,2016,1524228.108
Greece,GRC,2016,28991.96083
Greenland,GRL,2016,63928.05336
Grenada,GRD,2016,10802.06421
Guadeloupe,GLP,2016,21277.9503
Guam,GUM,2016,55659.85033
Guatemala,GTM,2016,5198.368726
Guinea,GIN,2016,1076.807043
Guinea-Bissau,GNB,2016,950.8491556
Guyana,GUY,2016,11180.93565
Haiti,HTI,2016,1414.388753
Honduras,HND,2016,5400.669364
Hong Kong,HKG,2016,46264.72254
Hungary,HUN,2016,26512.96828
Iceland,ISL,2016,177647.3576
India,IND,2016,6305.747862
Indonesia,IDN,2016,7752.315201
Iran,IRN,2016,37680.62131
Iraq,IRQ,2016,14723.18498
Ireland,IRL,2016,38377.7734
Israel,ISR,2016,35556.61447
Italy,ITA,2016,29445.83301
Jamaica,JAM,2016,12888.4673
Japan,JPN,2016,40543.44896
Jordan,JOR,2016,13768.73807
Kazakhstan,KAZ,2016,42123.31835
Kenya,KEN,2016,1906.408376
Kiribati,KIR,2016,2262.216963
Kuwait,KWT,2016,118318.2315
Kyrgyzstan,KGZ,2016,11239.67633
Laos,LAO,2016,12008.8628
Latvia,LVA,2016,22037.4491
Lebanon,LBN,2016,14187.91982
Lesotho,LSO,2016,2106.940235
Liberia,LBR,2016,1038.036626
Libya,LBY,2016,32575.98087
Lithuania,LTU,2016,22310.54764
Luxembourg,LUX,2016,73131.14995
Macedonia,MKD,2016,14529.67471
Madagascar,MDG,2016,693.3162692
Malawi,MWI,2016,474.7667616
Malaysia,MYS,2016,38095.50947
Maldives,MDV,2016,14105.76435
Mali,MLI,2016,937.7675665
Malta,MLT,2016,74465.28642
Martinique,MTQ,2016,28376.16502
Mauritania,MRT,2016,2725.641265
Mauritius,MUS,2016,19921.09261
Mexico,MEX,2016,17534.78971
Moldova,MDA,2016,9391.908204
Mongolia,MNG,2016,19272.83354
Montenegro,MNE,2016,19890.78473
Montserrat,MSR,2016,47619.58626
Morocco,MAR,2016,6312.382839
Mozambique,MOZ,2016,3497.845926
Namibia,NAM,2016,8577.08578
Nauru,NRU,2016,29983.82286
Nepal,NPL,2016,1720.801126
Netherlands,NLD,2016,58544.93305
New Caledonia,NCL,2016,77854.03913
New Zealand,NZL,2016,53336.1158
Nicaragua,NIC,2016,4629.056043
Niger,NER,2016,472.5114038
Nigeria,NGA,2016,2725.677548
Niue,NIU,2016,14999.04237
North America,,2016,87878.2885
North Korea,PRK,2016,4520.93939
Northern Mariana Islands,MNP,2016,0
Norway,NOR,2016,101263.0587
Oman,OMN,2016,75031.77153
Pakistan,PAK,2016,4347.325869
Palestine,PSE,2016,3291.121646
Panama,PAN,2016,30704.04925
Papua New Guinea,PNG,2016,3250.964612
Paraguay,PRY,2016,31800.43655
Peru,PER,2016,9748.04107
Philippines,PHL,2016,4648.659204
Poland,POL,2016,30350.81507
Portugal,PRT,2016,29132.50117
Puerto Rico,PRI,2016,25997.39325
Qatar,QAT,2016,208849.0514
Reunion,REU,2016,15146.06404
Romania,ROU,2016,19062.6262
Russia,RUS,2016,54990.73486
Rwanda,RWA,2016,425.2895346
Saint Helena,SHN,2016,7162.701845
Saint Kitts and Nevis,KNA,2016,20122.61024
