country,code,year,energy
Africa,,2018,4222.128318
Algeria,DZA,2018,15915.29679
Argentina,ARG,2018,22172.05999
Australia,AUS,2018,66894.01545
Austria,AUT,2018,44905.62813
Azerbaijan,AZE,2018,17180.55068
Bangladesh,BGD,2018,2551.015836
Belarus,BLR,2018,30806.83498
Belgium,BEL,2018,62624.21352
Brazil,BRA,2018,16091.37851
Bulgaria,BGR,2018,30430.95343
Canada,CAN,2018,107511.3932
Chile,CHL,2018,24630.23047
China,CHN,2018,26416.95477
Colombia,COL,2018,10361.17026
Croatia,HRV,2018,23521.49306
Cyprus,CYP,2018,27215.92309
Czech Republic,CZE,2018,44974.15269
Denmark,DNK,2018,33821.54498
Ecuador,ECU,2018,11808.14297
Egypt,EGY,2018,11056.03746
Estonia,EST,2018,62320.22349
Europe,,2018,31541.63013
Finland,FIN,2018,57693.81751
France,FRA,2018,42190.68374
Germany,DEU,2018,44910.65948
Greece,GRC,2018,30655.96237
Hong Kong,HKG,2018,49063.39757
Hungary,HUN,2018,28137.17658
Iceland,ISL,2018,188921.5392
India,IND,2018,6838.842272
Indonesia,IDN,2018,8535.947237
Iran,IRN,2018,40176.74122
Iraq,IRQ,2018,14488.85407
Ireland,IRL,2018,38354.49207
Israel,ISR,2018,35997.31896
Italy,ITA,2018,29915.23176
Japan,JPN,2018,41142.95061
Kazakhstan,KAZ,2018,47798.82452
Kuwait,KWT,2018,105546.4388
Latvia,LVA,2018,22427.29996
Lithuania,LTU,2018,24403.54991
Luxembourg,LUX,2018,76501.10517
Macedonia,MKD,2018,13942.51129
Malaysia,MYS,2018,37070.93622
Mexico,MEX,2018,17243.10311
Morocco,MAR,2018,6661.278393
Netherlands,NLD,2018,57413.45838
New Zealand,NZL,2018,52598.18255
North America,,2018,89812.39693
Norway,NOR,2018,99093.42078
Oman,OMN,2018,85503.51304
Pakistan,PAK,2018,4551.648174
Peru,PER,2018,9907.860825
Philippines,PHL,2018,5094.518762
Poland,POL,2018,32106.32173
Portugal,PRT,2018,29169.07319
Qatar,QAT,2018,198803.0395
Romania,ROU,2018,20067.33155
Russia,RUS,2018,57252.66219
Saudi Arabia,SAU,2018,89905.30876
Singapore,SGP,2018,173926.9065
Slovakia,SVK,2018,34563.49715
Slovenia,SVN,2018,39071.93105
South Africa,ZAF,2018,25450.06748
South Korea,KOR,2018,68124.29323
Spain,ESP,2018,34614.02641
Sri Lanka,LKA,2018,4564.023977
Sweden,SWE,2018,60350.69094
Switzerland,CHE,2018,36751.57249
Taiwan,TWN,2018,57725.96155
Thailand,THA,2018,22405.47837
Trinidad and Tobago,TTO,2018,142575.7296
Turkey,TUR,2018,21216.41075
Turkmenistan,TKM,2018,62394.63574
Ukraine,UKR,2018,22239.61443
United Arab Emirates,ARE,2018,138458.2491
United Kingdom,GBR,2018,32950.18827
United States,USA,2018,81188.35949
Uzbekistan,UZB,2018,15642.6636
Venezuela,VEN,2018,23598.4206
Vietnam,VNM,2018,10818.35619
World,OWID_WRL,2018,20975.2029
