country,code,year,energy
Afghanistan,AFG,2015,956.5097224
Africa,,2015,4207.0845
Albania,ALB,2015,11651.654
Algeria,DZA,2015,15542.75006
American Samoa,ASM,2015,25726.72923
Angola,AGO,2015,4062.531185
Antigua and Barbuda,ATG,2015,32408.04046
Argentina,ARG,2015,23123.79029
Armenia,ARM,2015,13841.58672
Aruba,ABW,2015,52174.19971
Australia,AUS,2015,67749.7276
Austria,AUT,2015,44369.91093
Azerbaijan,AZE,2015,17769.83392
Bahamas,BHS,2015,31632.97621
Bahrain,BHR,2015,148831.616
Bangladesh,BGD,2015,2355.330935
Barbados,BRB,2015,24005.51385
Belarus,BLR,2015,28498.76631
Belgium,BEL,2015,60020.43631
Belize,BLZ,2015,8670.147442
Benin,BEN,2015,2079.206901
Bermuda,BMU,2015,38943.9327
Bhutan,BTN,2015,33456.4408
Bolivia,BOL,2015,7684.553201
Bosnia and Herzegovina,BIH,2015,23000.15612
Botswana,BWA,2015,9979.412716
Brazil,BRA,2015,16619.27037
British Virgin Islands,VGB,2015,25747.70793
Brunei,BRN,2015,116331.7208
Bulgaria,BGR,2015,30872.25244
Burkina Faso,BFA,2015,793.7811673
Burundi,BDI,2015,148.5083601
Cambodia,KHM,2015,2465.250203
Cameroon,CMR,2015,1997.334891
Canada,CAN,2015,107894.8617
Cape Verde,CPV,2015,7018.656376
Cayman Islands,CYM,2015,41696.15737
Central African Republic,CAF,2015,471.3992482
Chad,TCD,2015,98.98401792
Chile,CHL,2015,23114.86542
China,CHN,2015,24755.29831
Colombia,COL,2015,10007.47893
Comoros,COM,2015,976.0116626
Congo,COG,2015,6027.993396
Cook Islands,COK,2015,21005.48121
Costa Rica,CRI,2015,12552.48989
Croatia,HRV,2015,21182.05083
Cuba,CUB,2015,11508.90315
Cyprus,CYP,2015,25059.15298
Czech Republic,CZE,2015,44065.149
Democratic Republic of Congo,COD,2015,499.6850602
Denmark,DNK,2015,34132.57555
Djibouti,DJI,2015,4203.993632
Dominica,DMA,2015,11666.873
Dominican Republic,DOM,2015,9509.104108
Ecuador,ECU,2015,11438.16434
Egypt,EGY,2015,10674.76595
El Salvador,SLV,2015,6137.76933
Equatorial Guinea,GNQ,2015,13935.26465
