country,code,year,energy
Eritrea,ERI,2015,741.5904115
Estonia,EST,2015,53293.29612
Ethiopia,ETH,2015,747.0974675
Europe,,2015,30942.90066
Faeroe Islands,FRO,2015,71655.43272
Fiji,FJI,2015,12780.05628
Finland,FIN,2015,58375.27937
France,FRA,2015,42767.74702
French Guiana,GUF,2015,17627.45523
French Polynesia,PYF,2015,17564.221
Gabon,GAB,2015,10592.67173
Gambia,GMB,2015,1114.129006
Georgia,GEO,2015,18186.65108
Germany,DEU,2015,45510.72478
Ghana,GHA,2015,2906.568487
Gibraltar,GIB,2015,1450036.062
Greece,GRC,2015,29348.35822
Greenland,GRL,2015,64774.75225
Grenada,GRD,2015,10802.99176
Guadeloupe,GLP,2015,21278.46083
Guam,GUM,2015,53427.59772
Guatemala,GTM,2015,4975.932853
Guinea,GIN,2015,1072.206148
Guinea-Bissau,GNB,2015,948.4034676
Guyana,GUY,2015,11014.28487
Haiti,HTI,2015,1160.083241
Honduras,HND,2015,5380.331382
Hong Kong,HKG,2015,45444.53612
Hungary,HUN,2015,26010.01538
Iceland,ISL,2015,177833.4849
India,IND,2015,6099.979882
Indonesia,IDN,2015,7636.035335
Iran,IRN,2015,36163.52525
Iraq,IRQ,2015,13108.32598
Ireland,IRL,2015,37179.07806
Israel,ISR,2015,35543.69142
Italy,ITA,2015,29203.35475
Jamaica,JAM,2015,12569.49685
Japan,JPN,2015,41168.22517
Jordan,JOR,2015,11680.15178
Kazakhstan,KAZ,2015,42075.91366
Kenya,KEN,2015,1877.382859
Kiribati,KIR,2015,2384.501624
Kuwait,KWT,2015,117465.5232
Kyrgyzstan,KGZ,2015,11384.75892
Laos,LAO,2015,10811.47757
Latvia,LVA,2015,20468.21082
Lebanon,LBN,2015,14396.71021
Lesotho,LSO,2015,2184.481822
Liberia,LBR,2015,1088.364917
Libya,LBY,2015,30933.97388
Lithuania,LTU,2015,21618.31197
Luxembourg,LUX,2015,75678.34538
Macedonia,MKD,2015,14017.29877
Madagascar,MDG,2015,684.9978482
Malawi,MWI,2015,399.4613073
Malaysia,MYS,2015,36669.69756
Maldives,MDV,2015,14535.10601
Mali,MLI,2015,900.0677129
Malta,MLT,2015,64895.95092
Martinique,MTQ,2015,28599.56098
Mauritania,MRT,2015,2836.77304
Mauritius,MUS,2015,18550.33636
Mexico,MEX,2015,17525.64953
Moldova,MDA,2015,9413.234954
Mongolia,MNG,2015,18821.35831
Montenegro,MNE,2015,20044.236
Montserrat,MSR,2015,48283.04055
Morocco,MAR,2015,6328.654927
Mozambique,MOZ,2015,3169.034264
Namibia,NAM,2015,8674.720313
Nauru,NRU,2015,28609.6837
Nepal,NPL,2015,961.5948384
Netherlands,NLD,2015,57672.17118
New Caledonia,NCL,2015,71450.18773
New Zealand,NZL,2015,53523.5253
Nicaragua,NIC,2015,4522.920191
Niger,NER,2015,469.2778843
Nigeria,NGA,2015,2342.666751
Niue,NIU,2015,16075.12556
North America,,2015,88562.99384
North Korea,PRK,2015,3945.920108
Northern Mariana Islands,MNP,2015,0
Norway,NOR,2015,101181.0079
Oman,OMN,2015,78464.89996
Pakistan,PAK,2015,4070.760894
Palestine,PSE,2015,3188.559814
Panama,PAN,2015,27456.16891
Papua New Guinea,PNG,2015,3310.03451
Paraguay,PRY,2015,27396.26602
Peru,PER,2015,9312.026236
Philippines,PHL,2015,4320.974331
Poland,POL,2015,29036.67909
Portugal,PRT,2015,27562.38951
Puerto Rico,PRI,2015,27171.34485
Qatar,QAT,2015,221633.6997
Reunion,REU,2015,15172.31184
Romania,ROU,2015,18937.68002
Russia,RUS,2015,53914.33021
Rwanda,RWA,2015,432.4823201
Saint Helena,SHN,2015,6625.417167
Saint Kitts and Nevis,KNA,2015,21017.22656
Saint Lucia,LCA,2015,10297.52231
Saint Pierre and Miquelon,SPM,2015,66559.98058
Saint Vincent and the Grenadines,VCT,2015,9372.93101
Samoa,WSM,2015,7808.442128
Sao Tome and Principe,STP,2015,3217.683146
Saudi Arabia,SAU,2015,94882.54424
Senegal,SEN,2015,2256.955488
Serbia,SRB,2015,20929.16842
Seychelles,SYC,2015,47744.96476
Sierra Leone,SLE,2015,624.0698442
Singapore,SGP,2015,166492.0949
Slovakia,SVK,2015,33171.59964
Slovenia,SVN,2015,35576.90477
Solomon Islands,SLB,2015,1575.556699
Somalia,SOM,2015,248.4627653
South Africa,ZAF,2015,25305.57605
South Korea,KOR,2015,64877.45031
South Sudan,SSD,2015,411.2038505
Spain,ESP,2015,33404.78545
Sri Lanka,LKA,2015,3864.87519
Sudan,SDN,2015,2294.173546
Suriname,SUR,2015,23339.43042
Swaziland,SWZ,2015,4262.453276
Sweden,SWE,2015,61901.94888
Switzerland,CHE,2015,39452.31324
Syria,SYR,2015,7383.868247
Taiwan,TWN,2015,56231.80446
Tajikistan,TJK,2015,7939.728092
Tanzania,TZA,2015,1182.868837
Thailand,THA,2015,21205.54531
Timor,TLS,2015,1787.378526
Togo,TGO,2015,1344.6251
Tonga,TON,2015,5555.415752
Trinidad and Tobago,TTO,2015,162264.395
Tunisia,TUN,2015,10020.37389
Turkey,TUR,2015,20244.57735
Turkmenistan,TKM,2015,59806.34504
Turks and Caicos Islands,TCA,2015,23722.75221
Uganda,UGA,2015,689.4538076
Ukraine,UKR,2015,21956.25624
United Arab Emirates,ARE,2015,134493.8543
United Kingdom,GBR,2015,34208.03124
United States,USA,2015,79771.64185
United States Virgin Islands,VIR,2015,115386.7905
Uruguay,URY,2015,19710.24157
Uzbekistan,UZB,2015,16974.90977
Vanuatu,VUT,2015,2465.45533
Venezuela,VEN,2015,30422.19968
Vietnam,VNM,2015,8678.806187
Western Sahara,ESH,2015,2033.945826
World,OWID_WRL,2015,20445.2829
Yemen,YEM,2015,2778.409881
Zambia,ZMB,2015,3274.540332
Zimbabwe,ZWE,2015,4027.628101
